# Frequency(Hz) Magnitude(dB)
2.103276075430662502e+02 -8.737838745117187500e+01
2.131901441719965931e+02 -8.693534088134765625e+01
2.160916396235355705e+02 -8.674649047851562500e+01
2.190326241231637141e+02 -8.649537658691406250e+01
2.220136351126739953e+02 -8.595822143554687500e+01
2.250352173483863396e+02 -8.557742309570312500e+01
2.280979230006969090e+02 -8.543307495117187500e+01
2.312023117549821905e+02 -8.523473358154296875e+01
2.343489509138788378e+02 -8.472808074951171875e+01
2.375384155009517428e+02 -8.440612792968750000e+01
2.407712883657767691e+02 -8.427321624755859375e+01
2.440481602904513068e+02 -8.412599182128906250e+01
2.473696300975542215e+02 -8.362900543212890625e+01
2.507363047595776493e+02 -8.334083557128906250e+01
2.541487995098446504e+02 -8.318746948242187500e+01
2.576077379549398074e+02 -8.306982421875000000e+01
2.611137521886678883e+02 -8.256245422363281250e+01
2.646674829075629418e+02 -8.227363586425781250e+01
2.682695795279724393e+02 -8.208472442626953125e+01
2.719207003047320086e+02 -8.199920654296875000e+01
2.756215124514555441e+02 -8.145937347412109375e+01
2.793726922624650228e+02 -8.118399047851562500e+01
2.831749252363769642e+02 -8.096912384033203125e+01
2.870289062013711145e+02 -8.092023468017578125e+01
2.909353394421669918e+02 -8.035734558105468750e+01
2.948949388287237525e+02 -8.010298156738281250e+01
2.989084279466967473e+02 -7.986857604980468750e+01
3.029765402296659431e+02 -7.985860443115234375e+01
3.071000190931642919e+02 -7.926957702636718750e+01
3.112796180705332176e+02 -7.899649047851562500e+01
3.155161009506225582e+02 -7.871448516845703125e+01
3.198102419173689555e+02 -7.867416381835937500e+01
3.241628256912707684e+02 -7.801576232910156250e+01
3.285746476727902063e+02 -7.766263580322265625e+01
3.330465140877054750e+02 -7.732603454589843750e+01
3.375792421344427794e+02 -7.723397064208984375e+01
3.421736601334138754e+02 -7.657745361328125000e+01
3.468306076783836716e+02 -7.615475463867187500e+01
3.515509357899005067e+02 -7.583280944824218750e+01
3.563355070708117864e+02 -7.575410461425781250e+01
3.611851958639003328e+02 -7.528434753417968750e+01
3.661008884116611171e+02 -7.487995910644531250e+01
3.710834830182571409e+02 -7.460809326171875000e+01
3.761338902136766933e+02 -7.453744506835937500e+01
3.812530329201245536e+02 -7.416619873046875000e+01
3.864418466206810194e+02 -7.369982147216796875e+01
3.917012795302512700e+02 -7.339553833007812500e+01
3.970322927688468440e+02 -7.325256347656250000e+01
4.024358605372212310e+02 -7.284795379638671875e+01
4.079129702948982299e+02 -7.232899475097656250e+01
4.134646229406210409e+02 -7.205180358886718750e+01
4.190918329952594945e+02 -7.190259552001953125e+01
4.247956287872068515e+02 -7.153810119628906250e+01
4.305770526402969836e+02 -7.106118774414062500e+01
4.364371610642823498e+02 -7.084266662597656250e+01
4.423770249479005656e+02 -7.070036315917968750e+01
4.483977297545741294e+02 -7.035389709472656250e+01
4.545003757207669537e+02 -6.989581298828125000e+01
4.606860780570468137e+02 -6.967733001708984375e+01
4.669559671518801451e+02 -6.954400634765625000e+01
4.733111887782001759e+02 -6.920410156250000000e+01
4.797529043027912508e+02 -6.876174926757812500e+01
4.862822908985154982e+02 -6.850925445556640625e+01
4.929005417594356118e+02 -6.844966888427734375e+01
4.996088663188593841e+02 -6.818391418457031250e+01
5.064084904703553889e+02 -6.771882629394531250e+01
5.133006567917736902e+02 -6.741040802001953125e+01
5.202866247723185325e+02 -6.738961029052734375e+01
5.273676710427105263e+02 -6.718986511230468750e+01
5.345450896084797705e+02 -6.666448974609375000e+01
5.418201920864363501e+02 -6.634525299072265625e+01
5.491943079443553870e+02 -6.628678131103515625e+01
5.566687847439309280e+02 -6.612106323242187500e+01
5.642449883870280019e+02 -6.554801940917968750e+01
5.719243033652935537e+02 -6.528231811523437500e+01
5.797081330131610457e+02 -6.518467712402343750e+01
5.875978997642956756e+02 -6.505018615722656250e+01
5.955950454115381945e+02 -6.447613525390625000e+01
6.037010313703755173e+02 -6.427653503417968750e+01
6.119173389460079306e+02 -6.419474792480468750e+01
6.202454696040427962e+02 -6.408491516113281250e+01
6.286869452448772790e+02 -6.350613403320312500e+01
6.372433084818120506e+02 -6.334165954589843750e+01
6.459161229229521268e+02 -6.324901962280273438e+01
6.547069734569460024e+02 -6.313519668579101562e+01
6.636174665426094634e+02 -6.250127410888671875e+01
6.726492305024945608e+02 -6.233542251586914062e+01
6.818039158204499017e+02 -6.219734954833984375e+01
6.910831954432388784e+02 -6.205239486694335938e+01
7.004887650862513055e+02 -6.137651824951171875e+01
7.100223435433874783e+02 -6.127495956420898438e+01
7.196856730011520540e+02 -6.114487075805664062e+01
